Price,Close,High,Low,Open,Volume,average_30
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,
Date,,,,,,
2025-09-25,423.3900146484375,435.3500061035156,419.0799865722656,435.239990234375,96746400,
2025-09-26,440.3999938964844,440.4700012207031,421.0199890136719,428.29998779296875,101628200,
2025-09-29,443.2099914550781,450.9800109863281,439.5,444.3500061035156,79491500,
2025-09-30,444.7200012207031,445.0,433.1199951171875,441.5199890136719,74358000,
2025-10-01,459.4599914550781,462.2900085449219,440.75,443.79998779296875,98122300,
2025-10-02,436.0,470.75,435.57000732421875,470.5400085449219,137009000,
2025-10-03,429.8299865722656,446.7699890136719,416.5799865722656,443.2900085449219,133188200,
2025-10-06,453.25,453.54998779296875,436.69000244140625,440.75,85324900,
2025-10-07,433.0899963378906,452.67999267578125,432.45001220703125,447.82000732421875,102296100,
2025-10-08,438.69000244140625,441.3299865722656,425.2300109863281,437.57000732421875,71192100,
2025-10-09,435.5400085449219,436.3500061035156,426.17999267578125,431.80999755859375,69339900,
2025-10-10,413.489990234375,443.1300048828125,411.45001220703125,436.5400085449219,112107900,
2025-10-13,435.8999938964844,436.8900146484375,419.70001220703125,423.5299987792969,79552800,
2025-10-14,429.239990234375,434.20001220703125,417.8599853515625,426.7900085449219,72669400,
2025-10-15,435.1499938964844,440.510009765625,426.3299865722656,434.8999938964844,71558200,
2025-10-16,428.75,439.3500061035156,421.30999755859375,434.7300109863281,77189900,
2025-10-17,439.30999755859375,441.4599914550781,423.6000061035156,425.5,89331600,
2025-10-20,447.42999267578125,449.79998779296875,440.6099853515625,443.8699951171875,63719000,
2025-10-21,442.6000061035156,449.29998779296875,442.04998779296875,445.760009765625,54412200,
2025-10-22,438.9700012207031,445.5400085449219,429.0,443.45001220703125,84023500,
2025-10-23,448.9800109863281,449.3999938964844,413.8999938964844,420.0,126709800,
2025-10-24,433.7200012207031,451.67999267578125,430.1700134277344,446.8299865722656,94727800,
2025-10-27,452.4200134277344,460.1600036621094,438.69000244140625,439.9800109863281,105867500,
2025-10-28,460.54998779296875,467.0,451.6000061035156,454.7799987792969,80185700,
2025-10-29,461.510009765625,465.70001220703125,452.6499938964844,462.5,67983500,
2025-10-30,440.1000061035156,455.05999755859375,439.6099853515625,451.04998779296875,72447900,
2025-10-31,456.55999755859375,458.0,443.69000244140625,446.75,83135800,
2025-11-03,468.3699951171875,474.07000732421875,453.79998779296875,455.989990234375,84595200,
2025-11-04,444.260009765625,460.2200012207031,443.6000061035156,454.4599914550781,87756600,
2025-11-05,462.07000732421875,466.3299865722656,440.7099914550781,452.04998779296875,85573000,442.5653330485026
2025-11-06,445.9100036621094,467.45001220703125,435.0899963378906,461.9599914550781,109622900,443.3159993489583
2025-11-07,429.5199890136719,439.3599853515625,421.8800048828125,437.9200134277344,103471500,442.9533325195313
2025-11-10,445.2300109863281,449.6700134277344,433.3599853515625,439.6000061035156,76515900,443.0206665039062
2025-11-11,439.6199951171875,442.489990234375,432.3599853515625,439.3999938964844,60533200,442.8506663004557
2025-11-12,430.6000061035156,442.3299865722656,426.55999755859375,442.1499938964844,58513500,441.888666788737
2025-11-13,401.989990234375,424.5,396.3399963378906,423.1300048828125,118948000,440.7549997965495
2025-11-14,404.3500061035156,412.19000244140625,382.7799987792969,386.29998779296875,105506700,439.9056671142578
2025-11-17,408.9200134277344,423.9599914550781,398.739990234375,398.739990234375,102214300,438.42800089518227
2025-11-18,401.25,408.8999938964844,393.7099914550781,405.3800048828125,80688600,437.3666676839193
2025-11-19,403.989990234375,411.7799987792969,398.5,406.17999267578125,72047700,436.2100006103516
2025-11-20,395.2300109863281,428.94000244140625,394.739990234375,414.6300048828125,113548800,434.8663340250651
2025-11-21,391.0899963378906,402.79998779296875,383.760009765625,402.32000732421875,100460600,434.119667561849
2025-11-24,417.7799987792969,421.7200012207031,401.0899963378906,402.1700134277344,96806400,433.5156677246094
2025-11-25,419.3999938964844,420.4800109863281,405.95001220703125,414.4200134277344,71915600,433.1876678466797
2025-11-26,426.5799865722656,426.94000244140625,416.8900146484375,423.95001220703125,63463000,432.9020009358724
2025-11-28,430.1700134277344,432.92999267578125,426.20001220703125,426.5899963378906,36252900,432.9493347167969
2025-12-01,430.1400146484375,433.6600036621094,425.2900085449219,425.32000732421875,57463600,432.64366861979164
2025-12-02,429.239990234375,436.79998779296875,422.1199951171875,430.80999755859375,69336600,432.03733520507814
2025-12-03,446.739990234375,447.9200134277344,431.1099853515625,432.1000061035156,87483000,432.1753346761068
2025-12-04,454.5299987792969,454.6300048828125,445.3900146484375,449.94000244140625,71906500,432.6940012613932
2025-12-05,455.0,458.8699951171875,451.6600036621094,453.0299987792969,56427500,432.89466756184896
2025-12-08,439.5799865722656,449.75,435.25,447.45001220703125,69165800,433.090000406901
2025-12-09,445.1700134277344,452.3900146484375,435.70001220703125,437.5400085449219,62367400,432.84833374023435
2025-12-10,451.45001220703125,456.8800048828125,443.6099853515625,446.07000732421875,63257500,432.5450012207031
2025-12-11,446.8900146484375,449.2699890136719,440.3299865722656,448.95001220703125,55979500,432.0576680501302
2025-12-12,458.9599914550781,463.010009765625,441.6700134277344,448.0899963378906,95656700,432.68633422851565
2025-12-15,475.30999755859375,481.7699890136719,467.6600036621094,469.44000244140625,114542200,433.31133422851565
2025-12-16,489.8800048828125,491.5,465.8299865722656,472.2099914550781,107608100,434.02833455403646
2025-12-17,467.260009765625,495.2799987792969,466.20001220703125,488.2200012207031,106490400,434.7950012207031
2025-12-18,483.3699951171875,490.8599853515625,473.1199951171875,478.1600036621094,95168400,435.5050008138021
2025-12-19,481.20001220703125,490.489990234375,474.7200012207031,488.1199951171875,103305400,436.68133443196615
2025-12-22,488.7300109863281,498.8299865722656,485.3299865722656,489.8800048828125,86916100,438.6550018310547
2025-12-23,485.55999755859375,491.9700012207031,482.8399963378906,489.3999938964844,58223600,439.99933471679685
2025-12-24,485.3999938964844,490.8999938964844,476.79998779296875,488.4800109863281,41285400,441.52533467610675
2025-12-26,475.19000244140625,489.0899963378906,473.82000732421875,485.2300109863281,58780700,443.0116678873698
2025-12-29,459.6400146484375,469.3999938964844,459.0,469.0,66263000,444.93333536783854
2025-12-30,454.42999267578125,463.1199951171875,453.8299865722656,461.0899963378906,59238500,446.6026682535807
2025-12-31,449.7200012207031,456.54998779296875,449.29998779296875,456.1000061035156,49078000,447.96266784667966
2026-01-02,438.07000732421875,458.3399963378906,435.29998779296875,457.79998779296875,85535400,449.19000142415365
2026-01-05,451.6700134277344,457.54998779296875,444.57000732421875,447.989990234375,67940800,450.779335530599
2026-01-06,432.9599914550781,448.25,428.7799987792969,446.3800048828125,89093800,452.03700154622396
2026-01-07,431.4100036621094,438.3699951171875,431.2900085449219,435.8999938964844,59828800,453.38100179036456
2026-01-08,435.79998779296875,436.8900146484375,424.3699951171875,427.8900146484375,57041100,453.98166809082034
2026-01-09,445.010009765625,449.04998779296875,430.3900146484375,435.95001220703125,67331500,454.83533528645836
2026-01-12,448.9599914550781,454.29998779296875,438.0,441.2300109863281,61649600,455.5813354492187
2026-01-13,447.20001220703125,451.80999755859375,443.95001220703125,450.20001220703125,53719200,456.1490020751953
2026-01-14,439.20001220703125,443.9100036621094,434.2200012207031,442.80999755859375,57259500,456.4510019938151
2026-01-15,438.57000732421875,445.3599853515625,437.6499938964844,441.1300048828125,49465800,456.7620025634766
2026-01-16,437.5,447.25,435.260009765625,439.5,60220600,456.4540028889974
2026-01-20,419.25,430.7300109863281,417.44000244140625,429.3599853515625,63187300,455.2780029296875
2026-01-21,431.44000244140625,438.20001220703125,419.6199951171875,421.6600036621094,68124000,454.4926696777344
2026-01-22,449.3599853515625,449.5,432.6300048828125,435.1600036621094,71546700,454.81866963704425
2026-01-23,449.05999755859375,452.42999267578125,444.0400085449219,447.42999267578125,56771400,454.9483357747396
2026-01-26,435.20001220703125,445.0400085449219,434.2799987792969,445.0,49397400,454.4066691080729
2026-01-27,430.8999938964844,437.5199890136719,430.69000244140625,437.4100036621094,37733100,453.87366841634116
2026-01-28,431.4599914550781,438.260009765625,430.1000061035156,431.9100036621094,54857400,452.9570017496745
2026-01-29,416.55999755859375,440.2300109863281,414.6199951171875,437.79998779296875,81686100,450.99866841634116
2026-01-30,430.4100036621094,439.8800048828125,422.70001220703125,425.3500061035156,82626100,449.01633504231773
2026-02-02,421.80999755859375,427.1499938964844,414.5,421.2900085449219,58739500,447.50133463541664
2026-02-03,421.9599914550781,428.55999755859375,413.69000244140625,424.2699890136719,56886500,445.45433451334634
2026-02-04,406.010009765625,423.8999938964844,399.17999267578125,420.4599914550781,74606900,442.9480010986328
2026-02-05,397.2099914550781,402.1000061035156,387.5299987792969,397.0199890136719,72819800,439.8973337809245
2026-02-06,411.1099853515625,414.54998779296875,397.75,400.8699951171875,62677100,437.41566670735676
2026-02-09,417.32000732421875,421.25,407.2900085449219,409.9100036621094,54484300,435.1463338216146
2026-02-10,425.2099914550781,427.25,417.0,418.0799865722656,64450200,433.48033345540364
2026-02-11,428.2699890136719,436.3500061035156,420.0299987792969,427.9599914550781,57362000,432.4346659342448
2026-02-12,417.07000732421875,436.2300109863281,414.0,430.29998779296875,61933400,431.1893330891927
2026-02-13,417.44000244140625,424.05999755859375,410.8800048828125,414.30999755859375,51434100,430.1133331298828
2026-02-17,410.6300048828125,413.7200012207031,400.510009765625,412.3599853515625,59678800,429.19866638183595
2026-02-18,411.32000732421875,416.8999938964844,409.5799865722656,411.1099853515625,45921400,427.8536661783854
2026-02-19,411.7099914550781,415.25,404.1099853515625,407.25,51019600,427.1453328450521
2026-02-20,411.82000732421875,414.70001220703125,405.5,408.29998779296875,57912200,426.4923329671224
2026-02-23,399.8299865722656,407.70001220703125,394.0400085449219,407.2900085449219,69680000,425.2933329264323
2026-02-24,409.3800048828125,410.82000732421875,397.6400146484375,399.5,58579500,424.1056660970052
2026-02-25,417.3999938964844,420.3399963378906,412.1499938964844,412.1499938964844,54809700,423.0536661783854
2026-02-26,408.5799865722656,416.80999755859375,403.6600036621094,414.4200134277344,53602500,421.7663319905599
2026-02-27,402.510009765625,407.1199951171875,398.1099853515625,402.94000244140625,56890100,420.5433319091797
2026-03-02,403.32000732421875,404.5400085449219,388.25,390.6000061035156,55088300,419.3683319091797
2026-03-03,392.42999267578125,396.3399963378906,385.3900146484375,395.0899963378906,62617300,417.8659983317057
2026-03-04,405.94000244140625,408.3299865722656,394.5799865722656,397.8500061035156,68305500,417.4223317464193
2026-03-05,405.54998779296875,408.6199951171875,399.4200134277344,401.57000732421875,51925900,416.559331258138
2026-03-06,396.7300109863281,402.3500061035156,394.2099914550781,398.0899963378906,64054600,414.80499877929685
2026-03-09,398.67999267578125,401.5899963378906,381.3999938964844,390.04998779296875,67018900,413.12566528320315
2026-03-10,399.239990234375,406.5899963378906,398.19000244140625,402.2200012207031,59258700,411.9269978841146
2026-03-11,407.82000732421875,416.3800048828125,402.1499938964844,402.2799987792969,62559900,411.1576649983724
2026-03-12,395.010009765625,406.5,394.6499938964844,405.17999267578125,60973800,409.942665608724
2026-03-13,391.20001220703125,400.20001220703125,389.95001220703125,399.1700134277344,58504100,409.0973327636719
2026-03-16,395.55999755859375,403.7300109863281,394.4200134277344,396.2200012207031,58068300,407.9356658935547
2026-03-17,399.2699890136719,400.1199951171875,393.0,395.69000244140625,46890500,407.1843322753906
2026-03-18,392.7799987792969,403.07000732421875,392.30999755859375,399.0,50853100,406.2116658528646
2026-03-19,380.29998779296875,387.2699890136719,378.7300109863281,387.2699890136719,67078300,405.3546651204427
2026-03-20,367.9599914550781,379.8900146484375,364.4599914550781,379.8500061035156,78628600,404.3796651204427
2026-03-23,380.8500061035156,385.3299865722656,372.7300109863281,373.0899963378906,74606000,403.3709991455078
2026-03-24,383.0299987792969,387.4800109863281,376.30999755859375,376.55999755859375,59818700,402.2279988606771
2026-03-25,385.9800109863281,396.2200012207031,385.010009765625,389.989990234375,51408071,400.9203328450521
